Species,LifeStage,Return.Yr.,Strata,Location.Reach,Disposition,Origin,Sex,Age,Count
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Lewis_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Channel,Male,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Female,Age-3,91
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Female,Age-4,76
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Female,Age-5,1
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Female,Age-3,3
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Female,Age-4,3
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Female,Age-5,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Grays_Hatchery,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Female,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Female,Age-3,1
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Female,Age-4,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Female,Age-5,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Big_Creek_Hatchery,Female,Age-6,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Male,Age-3,99
Chum,Adult,2021,Coastal,Grays_CJ,Grays_CJ,Natural_spawner,Male,Age-4,65
